"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007"
"53" 30654.5 31138 32051.5 32587 33511 34298.5 33888 33961.5 34713 35209.5 35289.5 36079 36570 36275.5 35761 35612.5 35552.5 35058 33358.5 31263 30441 30349.5 31245 34440 37471.5 37346.5 37054.5 37289.5 37414 37619 37223 37267 37825.5 38240.5 38179 37907.5 38268 38597 38848 39032 38601.5 38594.5 39435.5 40207 41652 43815 45679.5 46916.5 47345.5 48238.5 49055 49240 49156.5 48813.5 48134.5 48288.5 49107.5 49626.5
"54" 29561 30453 30915 31838 32410.5 33330 34111.5 33730.5 33800 34556.5 35079.5 35164 35953.5 36452 36140.5 35612 35460 35423 34939.5 33230.5 31099 30270.5 30252.5 31169.5 34307.5 37258.5 37082 36773 37041 37196 37426.5 37063.5 37089.5 37606 37984.5 37924 37691.5 38062 38379 38622.5 38746.5 38329 38325.5 39163 39968 41380.5 43471.5 45318.75 46558.75 47029 47981.5 48845 49131 49019.5 48591 47928.5 48111.5 48959
"55" 28254.5 29349.5 30262 30751 31672.5 32203 33128 33897.5 33479 33543.5 34293.5 34869.5 35021.5 35806 36290 35977.5 35467.5 35327 35281 34790.5 33059 30927.5 30155.5 30164.5 31050 34081.5 36935 36789.5 36542.5 36823.5 36966.5 37214.5 36871 36852.5 37355 37736.5 37669.5 37441.5 37816 38122 38300 38434.5 38004.5 38003 38906 39686.5 41048 43124.25 44986.75 46252.5 46742.5 47735.5 48704.5 49009 48819 48367 47705 47859
"56" 27643 28040 29130.5 30057.5 30517.5 31427 31976 32891 33664.5 33280.5 33370.5 34140 34694.5 34828 35616 36073 35774 35295.5 35144 35121.5 34626 32883 30783.5 30027 30027.5 30828.5 33777 36628.5 36533 36315 36588.5 36753.5 37014.5 36635.5 36587 37075.5 37443 37372 37172 37543.5 37841.5 38027.5 38098.5 37654 37701 38601.5 39327 40670.5 42769.5 44634 45926.5 46463 47508 48425.5 48707 48584.5 48102.5 47445
"57" 26863 27430.5 27807 28889.5 29819 30288.5 31215.5 31738.5 32637.5 33447.5 33060.5 33163.5 33972 34508 34631.5 35413.5 35862.5 35587 35113 34944 34928.5 34428 32711 30620.5 29847 29815 30553 33471 36341 36287.5 36072 36353.5 36556.5 36762 36335 36298.5 36782.5 37127 37054.5 36854 37124 37447 37694.5 37770.5 37342.5 37360.5 38182.5 38908.5 40321 42432.5 44314 45664.5 46224.5 47116.5 48022.5 48424.5 48298 47813.5
"58" 26157.5 26614.5 27174.5 27574 28636 29547.5 30023.5 30936 31465.5 32406.5 33245.5 32865 32954 33746 34259.5 34387.5 35192.5 35651 35376 34912 34738 34707.5 34245.5 32551 30457 29634.5 29561 30313.5 33212.5 36087.5 36062 35846 36121 36295 36474 36051.5 36004.5 36480 36844 36741 36510 36787 37062.5 37306.5 37431.5 37037 37059 37860.5 38570.5 39999.5 42131.5 44041 45428 45895.5 46804.5 47770 48103 47989.5
"59" 24732 25865.5 26326 26928 27305 28334 29257 29737 30653.5 31222 32186 33022 32643.5 32729.5 33507 34011 34167 34989.5 35427 35131 34660.5 34473.5 34472.5 34047.5 32360.5 30253 29395.5 29334 30095.5 32946 35819 35820.5 35594 35830.5 35991.5 36196 35768.5 35725 36221.5 36569 36461.5 36234 36458 36714 36946.5 37095.5 36722 36693.5 37503 38262 39705.5 41810.5 43748 45021 45462 46491.5 47443.5 47784.5
"60" 23817 24481.5 25596.5 26063.5 26647.5 27023.5 28069.5 28993.5 29478 30402.5 30940.5 31895.5 32747.5 32365.5 32463.5 33232.5 33709 33890 34750 35168.5 34854.5 34393 34200.5 34209.5 33787.5 32063.5 29959 29138 29079.5 29829.5 32648.5 35536.5 35588.5 35340 35547 35662 35825.5 35419.5 35392 35862.5 36228 36156.5 35904 36126.5 36389 36600.5 36719.5 36364.75 36341.75 37123.5 37927 39431 41563 43449 44720.5 45167.5 46162 47125
"61" 23661.5 23516 24165 25296.5 25766 26346.5 26697.5 27714 28661 29162.5 30055.5 30615 31598 32427 32051 32148.5 32937.5 33415 33600.5 34456 34855 34548.5 34134 33949.5 33928.5 33501 31754.5 29673 28879 28829 29590.5 32398 35283 35305.5 35022 35241 35360 35530 35120.5 35074 35453.5 35827 35822 35597 35800.5 36036 36280 36386.75 36035.75 36064 36877 37658.5 39152.5 41109.5 42919.5 44340 44859 45883
"62" 22789 23331.5 23208 23872.5 24977 25422 25996 26377.5 27400 28301 28818.5 29746 30311 31275.5 32092 31716.5 31815 32629 33102.5 33308 34169 34535 34214.5 33855 33683.5 33590.5 33114 31389.5 29379 28598.5 28541.5 29324.5 32138 34938.5 34885.5 34607.5 34851 34980 35114.5 34687.5 34564.5 34953 35397 35398.5 35208.5 35376.5 35583.5 35836.25 35964.75 35646.5 35683.5 36507 37327.5 38739.5 40755.5 42650 43992.5 44518
"63" 22149 22463.5 22980 22877 23532.5 24627 25065 25631.5 26016 27032 27968.5 28496.5 29384 29948.5 30914.5 31719.5 31363 31473.5 32278 32748.5 32970 33824 34190.5 33866 33540.5 33358 33211 32753.5 31053.5 29048 28291.5 28254.5 29035.5 31831.5 34573.5 34506 34229 34463.5 34608 34741.5 34282 34169.5 34585.5 35046 35032.5 34819 34973 35177.25 35414.25 35552.5 35269.5 35344 36206 36840 38258.5 40438.5 42309 43657
"64" 21433.5 21757.5 22050.5 22590.5 22527 23181 24222 24633.5 25245 25652 26630 27585 28127.5 28992 29576.5 30522 31318.5 31004.5 31112 31896 32347 32573 33456 33830.5 33476 33153 32973 32830.5 32391 30722 28764 28018 27985.5 28734.5 31477 34204 34158 33881.5 34112.5 34270.5 34344 33879 33814.5 34254.5 34717.5 34676 34452.5 34610.75 34824.25 35059.5 35203.5 34945 35018.5 35825.5 36475.5 37917.5 40052 41925.5
"65" 20696.5 20995 21251 21582 22132 22047 22691.5 23734 24190.5 24825 25200.5 26197 27169 27694 28577.5 29152.5 30086.5 30910.5 30612 30715 31488 31914 32141 33017.5 33391.5 33049.5 32744.5 32586 32434 32018 30387 28458 27740.5 27702.5 28426 31124 33809 33750.5 33488 33754.5 33907 33981 33543.5 33487.5 33910.5 34359 34319 34103 34273 34500 34754.5 34902 34636.5 34665.5 35466 36131 37577.5 39724.5
"66" 20074.5 20202 20521 20828.5 21135.5 21680 21617.5 22268.5 23298.5 23768 24402.5 24778.5 25757 26688.5 27239 28110 28679.5 29654 30481 30141.5 30254 31047.5 31481 31731 32607.5 32938.5 32570 32341 32184.5 32033 31664 30060 28157.5 27436 27389.5 28087 30769 33428 33361.5 33133 33450 33599.5 33637.5 33189 33134.5 33566 33993 33977.25 33772.75 33937 34187.5 34461 34589 34252 34318.5 35166.5 35825.5 37297.5
"67" 19499.5 19567.5 19728 20077.5 20351.5 20660.5 21221.5 21139.5 21798 22849 23354 24000 24318 25266 26189 26742.5 27605 28176.5 29183 29988 29644.5 29759.5 30552.5 30999.5 31256.5 32129.5 32429.5 32098 31925.5 31765 31607.5 31279.5 29712.5 27815.5 27106 27057 27735 30379 33012.5 32955 32742.5 33105 33234 33238.5 32812.5 32779.5 33224.5 33635 33645.5 33480.5 33623 33854.5 34126 34164.5 33804.5 33985.5 34897 35547.5
"68" 18793.5 18967 19036.5 19221.5 19575.5 19861.5 20152.5 20700.5 20653 21307 22342 22860.5 23506.5 23812.5 24719.5 25647.5 26197.5 27061 27648 28623 29426.5 29116 29241.5 30050.5 30519 30772.5 31609.5 31891.5 31605.5 31465.5 31316.5 31170.5 30872.5 29330 27437.5 26748.5 26702 27364.5 29979.5 32594.5 32465.5 32264 32717 32868 32885.5 32441.5 32381.5 32829.25 33255.25 33285.5 33161.5 33310 33482.5 33726.5 33842 33527.5 33674.5 34572
"69" 17686 18168.5 18363.5 18490.5 18655.5 19001 19317 19607.5 20160 20151 20758 21781.5 22302 22908.5 23235 24123.5 25029 25598.5 26478 27065.5 28032.5 28819.5 28538.5 28717.5 29529.5 29973 30232.5 31073 31343 31089.5 30985 30849.5 30721.5 30430.5 28906 27047.5 26400 26364.5 26981.5 29569 32222.5 32067.5 31815 32329.5 32453.5 32427.5 32004 31980 32468 32886.5 32924.5 32812.5 32967 33051 33317 33532.5 33198 33351
"70" 16947.5 17084 17570 17800.5 17904.5 18061.5 18383.5 18655.5 18985.5 19554 19573.5 20197 21183 21700 22329 22639 23503.5 24414.5 24968 25816.5 26398.5 27357.5 28151 27919.5 28136.5 28938.5 29366 29662.5 30490 30763.5 30544 30469.5 30362 30221 29943 28447.5 26623 25987 25951.5 26571 29201.5 31847 31625 31358.5 31883.5 32011 31964.5 31575.25 31607.25 32090.5 32511.5 32560 32389.5 32537 32690.5 32969 33174 32865.5
"71" 16397 16306.5 16442 16916.5 17150 17263 17417.5 17739 18054 18410.5 18972 19009 19606.5 20546.5 21064 21698.5 22003.5 22830 23722 24268.5 25105 25717.5 26678.5 27486.5 27315 27545 28342.5 28742 29031.5 29883 30164.5 29989.5 29940 29792.5 29672 29455 27976.5 26163 25542.5 25535.5 26235 28810 31334 31173 30933.5 31409.5 31521.5 31498 31159 31186 31652.5 32104.5 32119.5 31903.5 32072 32279 32592.5 32786.5
"72" 15648 15704 15609.5 15779.5 16257.5 16466.5 16582 16739.5 17070.5 17431.5 17854 18399.5 18374 18918.5 19802 20339.5 20998 21329 22150.5 22993.5 23539 24353 24994.5 25956.5 26743 26624.5 26859.5 27640.5 28060.5 28344 29186.5 29497.5 29354 29320 29193.5 29092.5 28865.5 27438.5 25676.5 25085 25041.5 25705.5 28273 30777.5 30640 30385.5 30840 30989.5 31035.5 30744 30771.5 31221 31631.5 31633 31475.5 31674.5 31882 32192.5
"73" 14600 14900 14946 14886.5 15054.5 15527.5 15706 15842.5 16061 16452.5 16811 17167 17704.5 17668.5 18211.5 19084.5 19613.5 20279.5 20573.5 21356 22204 22739 23554.5 24219.5 25169.5 25969 25863 26146.5 26933.5 27339 27633 28458.5 28797.5 28672 28639.5 28537 28457 28235 26869 25155 24579.5 24552.5 25194 27717.5 30247 30125.5 29824.5 30307.5 30485 30519 30250.5 30286 30718.5 31088.5 31110.5 31035.5 31228.5 31423
"74" 13507.5 13805.5 14082.5 14167 14133.5 14281.5 14711 14923.5 15129 15351.5 15676.5 16049.5 16416 16893.5 16894 17442 18296 18876.5 19528.5 19792 20554 21359 21909.5 22758 23449.5 24398 25158 25080 25372 26134 26555 26874 27703.5 28011 27907 27936.5 27859.5 27777 27568.5 26269 24617 24075.5 24047.5 24654 27137 29626 29488 29205.375 29734.375 29931 29959 29725.5 29744 30254.5 30703 30666 30567 30742
"75" 12093 12695.5 12953.5 13204.5 13269 13286.5 13452 13868.5 14138 14381 14607.5 14927 15254.5 15593 16080 16087.5 16637 17489 18020 18629 18941.5 19717 20476.5 21033.5 21905 22585 23525 24282 24206.5 24514.5 25317 25751 26040.5 26861.5 27192 27114 27178.5 27147.5 27086.5 26890 25586.5 23991.5 23514 23482.5 24087.5 26517.5 28953 28818.25 28558.25 29115.5 29336 29368 29094.5 29129 29684.5 30146 30133.5 30064.5
"76" 10530 11284 11815.5 12087 12337.5 12446 12499 12644 13067 13366 13574 13796.5 14120.5 14391.5 14728 15229.5 15224 15771.5 16627.5 17122 17722 18056.5 18785 19527 20131 21026 21695 22615 23350.5 23300 23625 24404.5 24858 25146.5 25965 26318.5 26238 26348 26356 26309 26118 24881.5 23368 22930 22933 23481.5 25854 28256.75 28104.75 27868.5 28458.5 28699.5 28720.5 28514.5 28623.5 29134.5 29547 29544.5
"77" 9486.5 9748 10446 10957 11198 11458.5 11567 11621 11818.5 12263.5 12483.5 12677 12954 13235 13507.5 13842.5 14305 14355.5 14898 15694 16179 16748.5 17095 17838 18587 19209.5 20071.5 20761 21686 22382 22326.5 22629 23430.5 23907 24225.5 25066.5 25399 25305 25456.5 25551.5 25513.5 25291 24103.5 22668 22231 22233 22779 25129.25 27491.25 27317.5 27127 27743 27936.5 27979.5 27825.5 27953.5 28466.5 28876.5
"78" 8234 8692 8924.5 9579 10073 10328.5 10540 10663 10764.5 10966 11364 11599.5 11778 12014.5 12310 12583 12889.5 13343.5 13464 13973 14694 15196.5 15778 16127 16865 17569.5 18177 19064.5 19795 20692.5 21300 21248.5 21596 22412.5 22918 23259.5 24124.5 24491.5 24384.5 24558 24718.5 24688 24454 23338.5 21969 21550 21575.5 22083.25 24308.25 26615.5 26523.5 26355.5 26954 27274.5 27390.5 27179 27273 27797.5
"79" 7156.5 7480.5 7910.5 8122.5 8722.5 9180.5 9392 9653.5 9812 9923.5 10131.5 10517 10713 10809.5 11079.5 11390 11600 11938.5 12393.5 12497 12991.5 13654.5 14181 14760 15099 15834.5 16514 17118.5 18010 18750.5 19602 20180.5 20142 20483.5 21316.5 21856.5 22201.5 23067 23451.5 23363.5 23474 23657 23762 23563.5 22487.5 21200 20820 20818.5 21283.5 23465 25744 25671 25507.5 26054 26371 26577 26410 26483.5
"80" 6310.5 6473.5 6770.5 7162 7399.5 7989.5 8375.5 8583 8832.5 8945 9111.5 9379 9670 9814 9976 10227 10481 10711.5 10979 11367.5 11506.5 11978 12615.5 13108 13645.5 13963.14 14707 15418.86 15993.3 16844.78 17514.465 18339.82 18955.37 18934.81 19289.59 20075.325 20633.16 20986.105 21824.94 22264.235 22268.585 22363.185 22585.26 22862.65 22800.945 21820.64 20772.595 20583.43 20249.77 20402.5 22532 24781.5 24705 24597.5 25269 25532 25695 25585
"81" 5189.5 5597.5 5753 6028.5 6402.5 6610 7092.5 7488.5 7724 7943 8042 8245 8471.5 8681 8861.5 9057.5 9259.5 9465.5 9718 10036.5 10397.5 10519 10990 11588.5 12070 12609.5 12934.64 13663.5 14369.86 14942.8 15753.28 16350.465 17130.32 17745.37 17774.81 18168.09 18939.325 19470.16 19858.105 20684.94 21059.235 21092.585 21278.185 21525.26 21782.15 21709.945 20764.64 19828.095 19713.43 19348.27 19459 21498 23637.5 23758 23731 24257.5 24560 24762
"82" 4410.5 4547.5 4930.5 5065.5 5302 5656.5 5807.5 6276.5 6678.5 6865 7058.5 7189.5 7386.5 7533.5 7745 7928 8075.5 8264.5 8493 8734.5 9026.5 9394.5 9568 10035 10568 11059 11613 11918.64 12571.5 13275.36 13868.3 14577.28 15140.965 15871.32 16493.37 16577.81 16973.09 17732.325 18213.66 18605.105 19447.94 19838.235 19861.585 20069.185 20359.76 20620.15 20570.445 19681.14 18818.595 18756.93 18356.77 18452 20420.5 22551 22756 22675 23217 23508
"83" 3908.5 3805.5 3914 4264.5 4427.5 4635 4892 5038.5 5505 5857 6000 6198 6305.5 6433 6624 6878 7034.5 7157.5 7305.5 7526.5 7772.5 8039.5 8414.5 8592.5 9057.5 9589 10031 10587 10908.64 11499.5 12131.86 12667.3 13304.28 13840.465 14601.82 15246.37 15304.81 15697.09 16468.325 16923.66 17325.605 18122.94 18486.235 18544.585 18785.685 19108.26 19358.65 19326.445 18525.14 17724.095 17701.93 17340.77 17434.5 19312 21375 21573.5 21513.5 22061.5
"84" 3332.5 3340 3242.5 3353.5 3648.5 3788.5 3966.5 4217 4354.5 4746.5 5059 5214 5382 5425 5585 5787.5 6006 6165 6252.5 6404 6629 6853.5 7144 7495.5 7628.5 8058.5 8550.5 9000 9534 9822.64 10407.5 10982.36 11426.3 12014.78 12564.465 13321.82 13940.37 14049.31 14455.59 15175.325 15593.16 16000.105 16760.94 17129.735 17248.585 17479.685 17785.26 18042.15 18052.945 17320.64 16592.595 16581.93 16200.27 16324 18214 20158 20309.5 20282
"85" 2684 2785 2785 2721 2815.5 3057 3176.5 3355 3587.5 3708.5 4037 4310.5 4437 4562 4627.5 4814 5000.5 5185.5 5304 5389.5 5553 5738 5956 6221 6529 6709 7132.5 7599.5 8007.5 8484 8743.64 9256.5 9803.36 10257.3 10849.28 11366.965 12048.82 12682.37 12848.31 13196.09 13800.325 14165.16 14611.105 15396.44 15755.735 15868.585 16088.185 16362.26 16631.15 16710.695 16063.39 15386.595 15383.93 15132.77 15298.5 16980 18742.5 18935
"86" 2116 2214.5 2297.5 2312.5 2239 2320 2526.5 2627.5 2819.5 3016.5 3081.5 3386.5 3600.5 3685.5 3857 3946 4065 4236.5 4401.5 4507 4619 4737.5 4897 5111.5 5375 5679 5843.5 6224 6645.5 7039.5 7505.5 7750.64 8190.5 8655.36 9084.8 9661.78 10128.965 10772.32 11407.87 11585.81 11841.59 12376.825 12774.66 13205.105 13969.94 14320.735 14417.085 14602.185 14894.76 15197.65 15249.945 14681.64 14095.095 14110.43 13879.77 14040 15665.5 17342.5
"87" 1602.5 1698.5 1791 1859.5 1869 1824 1890 2046.5 2141.5 2309.5 2447.5 2534.5 2806.5 2925 3004 3195 3262.5 3378.5 3541.5 3679 3788.5 3884 4009 4153 4338.5 4626 4845.5 4987.5 5376.5 5734 6069.5 6477 6763.14 7158.5 7549.86 8004.3 8503.78 8954.465 9591.82 10119.37 10261.81 10538.09 11031.325 11389.16 11808.605 12501.94 12800.735 12870.585 13097.685 13405.26 13661.65 13761.445 13316.14 12778.595 12839.93 12640.77 12762 14282
"88" 1159 1264.5 1359 1437.5 1463 1461 1434 1508 1647.5 1739 1873 1997 2075.5 2246.5 2370.5 2465 2584 2657.5 2772 2899 3027 3123 3214.5 3344.5 3472 3637.5 3886.5 4103.5 4252.5 4573.5 4874.5 5158 5508.5 5788.64 6179.5 6543.86 6934.3 7385.28 7802.465 8391.32 8818.37 8922.31 9219.09 9646.325 9999.66 10391.605 11014.94 11304.235 11403.585 11648.685 11919.76 12206.15 12315.445 11853.64 11429.595 11578.93 11378.77 11473
"89" 877 907 983.5 1059 1131.5 1166 1146 1112.5 1194.5 1322 1373 1482.5 1576.5 1601 1774 1889 1961.5 2071.5 2102 2202.5 2325 2430.5 2533 2624.5 2747 2872.5 3007.5 3237.5 3439 3572.5 3846.5 4093 4354 4650 4909.14 5261.5 5567.36 5919.3 6328.78 6697.465 7164.32 7534.87 7656.81 7948.09 8367.825 8659.66 8998.105 9573.44 9830.235 9879.585 10131.185 10459.76 10705.65 10812.445 10442.64 10105.595 10294.43 10136.27
"90" 633.5 685.5 717.5 763 805.5 860 883 877 874 927 999 1064.5 1170 1220.5 1247.5 1377.5 1457.5 1552.5 1632 1635 1738.5 1827 1908.5 2011.5 2098.5 2239.5 2337.5 2441 2659 2826 2943.5 3181 3390 3577.5 3847 4097.64 4384 4668.86 4987.8 5339.28 5634.965 6028.32 6401.87 6516.31 6764.09 7086.825 7301.66 7622.105 8123.44 8381.235 8421.085 8650.185 8999.76 9229.65 9346.445 9082.14 8827.595 9022.93
"91" 429.5 470 514.5 547 568 592.5 634 653 662.5 668 692 753.5 803.5 871.5 930 946 1046 1120 1180 1242 1264.5 1351 1408 1482 1579 1661 1782 1868 1963.5 2135.5 2254.5 2363.5 2581.5 2742 2887 3135.5 3333.14 3568.5 3826.36 4086.8 4373.78 4626.965 5017.32 5329.37 5391.81 5593.09 5858.825 6067.66 6347.605 6758.94 6977.235 7046.585 7251.685 7539.26 7786.15 7951.445 7791.64 7619.595
"92" 301.5 316.5 342 374.5 406 420.5 429.5 463 481.5 490 494.5 520 555.5 582 645.5 697.5 702.5 773 838.5 890 945 956 1026.5 1096 1170.5 1249.5 1299 1403.5 1466.5 1533.5 1668.5 1765.5 1849 2013.5 2184 2326 2507 2662.14 2865 3103.86 3307.8 3527.28 3755.965 4061.32 4308.87 4375.81 4514.09 4699.325 4901.16 5143.105 5487.94 5689.735 5779.085 5962.185 6235.26 6501.15 6662.445 6580.64
"93" 181.5 204.5 218 249 273 284 292 312 338 356.5 360.5 365.5 381 399 423.5 455 498 521 561.5 612 669.5 706.5 717.5 767.5 814.5 880 946 1012.5 1083 1128.5 1198 1278 1358.5 1416.5 1551 1729.5 1835 1948 2062.14 2246.5 2451.36 2616.8 2806.78 2967.965 3215.82 3442.87 3464.31 3559.09 3741.325 3905.66 4106.605 4406.44 4568.235 4639.085 4835.685 5078.76 5318.65 5493.945
"94" 118 123.5 153 155 168.5 189.5 193 204.5 218.5 234.5 248.5 244.5 246 255.5 280.5 307.5 320 348 367 394.5 428.5 474.5 506 518 567.5 612 650 710.5 778 825.5 846.5 882.5 951.5 1020 1078.5 1190 1329.5 1403 1496.5 1591.64 1711 1884.36 2021.3 2137.28 2262.965 2496.32 2681.87 2689.31 2759.09 2896.325 3054.66 3241.605 3468.94 3551.735 3634.585 3863.185 4091.26 4288.65
"95" 79.5 75 80.5 102 101.5 112 127.5 134 144 148.5 151 166.5 163.5 166.5 178 191.5 213 220.5 233 240 264 291 332.5 349 364.5 416 435 473 529 568.5 603 621.5 644.5 696.5 755.5 804.5 872 979.5 1053 1124.5 1180.14 1254 1384.36 1492.3 1606.28 1719.965 1888.82 2015.37 2010.81 2048.59 2154.325 2303.66 2451.605 2603.94 2705.235 2793.585 2970.685 3182.76
"96" 46.5 50 49 50.5 61.5 64 72 87 92.5 94.5 99.5 105 112 105 117.5 129.5 125.5 134.5 144 153.5 154.5 170 191 222 230.5 248.5 290.5 299.5 338.5 385.5 403.5 429.5 445 461.5 507 554.5 589.5 637.5 701.5 761 818 854.14 919.5 1027.86 1114.3 1187.28 1263.965 1369.32 1463.87 1469.31 1502.59 1597.825 1695.16 1795.105 1930.94 2027.235 2118.585 2260.685
"97" 35.5 34 29.5 27 32 39.5 41 45.5 55 57.5 56 59 62.5 67.5 66 73 87 89 90 97 101.5 101 113 132 151 160.5 174.5 198 210 243.5 274 280 300 312.5 319 356 398 430 460.5 488.5 529.5 577 597.14 640 728.86 782.8 835.28 890.965 944.82 1032.37 1056.31 1083.59 1144.825 1190.16 1289.105 1416.44 1497.735 1581.585
"98" 16 21.5 23 21 18.5 20 22 20.5 26 33 33.5 34.5 39.5 40.5 42.5 41 45.5 61 60.5 59 65 65.5 61.5 68 84 95 101 120 139.5 150.5 166 185.5 198.5 199 208 217 235.5 272 303 315 333 363 397 419.14 453 508.36 523.8 554.78 618.965 655.32 708.87 737.31 761.09 801.325 824.16 899.605 1015.94 1085.735
"99" 7 8.5 13.5 13.5 12 11 9.5 12 13 15.5 21.5 22.5 22.5 25 23 22 24 33 39.5 37 37.5 42.5 46 43 42 50.5 64 67.5 77 91.5 95.5 102.5 124 132.5 125.5 131.5 132.5 151.5 185.5 203.5 208.5 221.5 239 256 279.14 307 342.86 351.3 373.28 411.965 427.32 476.37 500.31 513.09 543.825 558.66 626.105 715.44
"100" 5 4 6 8.5 6 5 5.5 5 6.5 9.5 9.5 13 15.5 11 11.5 12.5 13 16.5 20.5 18.5 16.5 20.5 26 26.5 24 25 26 37 41 40.5 50 55.5 59 73 75 68 78.5 79.5 90.5 117.5 129 130 140 153.5 166.5 186.14 204.5 221.86 234.8 254.28 276.465 284.82 318.37 336.31 334.59 352.825 379.16 428.605
