"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007"
"12" 29725.5 30116.5 30522.5 32512 35780.5 38460.5 39942 41149.5 42062 41985.5 41907 42607 43908.5 44222 43943 43465 42677 42727 43422 44573 45405.5 45838.5 46413 47319.5 48364 49660.5 50775 50406 49539 48642.5 47535.5 46243.5 44577 43207 41569 39582 38261.5 37055 36301.5 36269 35947 36338.5 37777 38439 38877.5 39197 39184 39727.75 40164.75 40284.5 41085 41948.5 42587 43251.5 43385.5 42551.5 41512 41100.5
"13" 29984.5 29789 30144.5 30504.5 32525 35827.5 38574.5 40102.5 41267 42186 42152.5 43344 44807 45358 44951.5 44022 43483 42836.5 42908.5 43583.5 44812 45534.5 45858 46535.5 47384.5 48233.5 49399 50588.5 50351.5 49615.5 48809 47629 46230 44513 43206.5 41663 39696 38408.5 37275 36610.5 36333.5 36089.5 36875.5 38293.5 38841.5 39242.5 39426.5 39275 39829 40363 40536 41329 42247 42798.5 43376.5 43557 42766.5 41761.5
"14" 30819.5 30052 29817 30123 30508.5 32567 35934 38728 40219 41392 42432.5 43756.5 45820 46567.5 46220.5 44982 43995.5 43698 43061 43069.5 43862 45047.5 45669.5 46043.5 46607 47292.5 48070 49290 50590.5 50477 49827.5 48934.5 47633 46228 44585.5 43342 41837.5 39912 38683 37605 36719.5 36591 36658.5 37332.5 38610 39119 39469.5 39572.25 39405.25 40014 40615.5 40766 41604 42556 43028.5 43566 43780 43051.5
"15" 31390.5 30921.5 30206.5 30267.5 31184.5 32011 33987 36739 39422 41471.5 42077 43881.5 46370.5 47773 47589.5 46247.5 44892.5 44225 44003.5 43259.5 43420 44265.5 45466 46112.5 46177.5 46506.5 47137 47985.5 49275.5 50675 50663.5 49986.5 49000.5 47638 46318 44770 43540 42087 40260.5 39077.5 37830.5 37087.5 37211.5 37211.5 37783.5 38971 39408 39676.25 39740.25 39610 40255.5 40877 41079.5 41821 42746.5 43278.5 43812.5 44079
"16" 32133.5 31732 31522 30923.5 31083.5 31843 32286 33982 37172.5 40283.5 41584 43150.5 46398.5 48175.5 48632.5 47651.5 46277 45244.5 44569 44277.5 43637.5 43889 44797 45989.5 46276 46055 46311.5 46995.5 47951.5 49364.5 50873 50850.5 50064 48982.5 47705.5 46484.5 44979.5 43855 42505.5 40694.5 39290 38268.5 37920.5 37928 37784 38335.5 39414.5 39698.25 39888.25 40018.5 39983.5 40623.5 41244 41431 42163 43099 43623 44164.5
"17" 33123.5 32748.5 32873.5 32710 32019 31995 32568 32986.5 34913 38203 41149 43377 45593 48080.5 49051.5 48693 47693 46669.5 45611.5 44878 44524 44017.5 44636.5 45559.5 46297.5 46218.5 45878 46243 47032.5 48052.5 49597.5 51162.5 51043.5 50087.5 49057.5 47872.5 46728 45373.5 44329 43045 41112 39780.5 38924.5 38448.5 38365.5 38130 38506 39551.75 39925.25 40121.5 40243 40277 40959.5 41401 41523.5 42391.5 43329 43874
"18" 33926 34028.5 34410 34513.5 34103.5 33212 33156.5 33918.5 34325 36063.5 39989 43585.5 45861 47709 49174.5 49110.5 48570.5 47991 47106.5 45932 44821 44593.5 44876 45647 46014 46219 46008.5 45911 46361.5 47153.5 48434 50055 51456.5 51115 50203 49329.5 48249 47226 45905 44885 43516.5 41706.5 40503.5 39499 38984.5 38883.5 38505 38831.5 39831.5 40232 40557.5 40717.5 40755.5 41324 41796.5 42032 42853 43797.5
"19" 34976.5 34919.5 35838 36185.5 36009.5 35389 34502.5 34674 35367.5 35528.5 38166.5 42396.5 45591 47845 48815.5 49225.5 49043 48967 48784 47744 45608 44617 45450 45977 46262 45953 45923 45935 45943.5 46442.5 47411.5 48764 50386.5 51605.5 51328 50649 49824.5 48785 47767 46413.5 45433 44313 42624.5 41321.5 40288 39710.5 39433 38946 39218 40261 40770 41223 41410.5 41359.5 41960 42490 42686.5 43596
"20" 35925 35670.5 35706.5 36083.5 36048.5 35952.5 35837.5 35626.5 36016.5 36662.5 38029.5 40668.5 43965.5 47243 48871.5 48907.5 49184.5 49721 50067 49496 47458 45460 45546 46547 46631 46295.5 45692.5 45899 46090 46154.5 46864 47922 49223.5 50623 51776 51594.5 50949.5 50218.5 49187.5 48204 46963.5 46187.5 45137 43304.5 41915 40838 40101 39765 39352.5 39720.5 40825.5 41421.5 42065 42252 42152 42694 43186 43552
"21" 36242.5 36612.5 36771 36970.5 37484.5 37628.5 37725 37741.5 37339 37463.5 38823 40361 42232 45255 48054 48936.5 48871 49897 50899 51127.5 49445 47241.5 46484 46743 47232.5 46542.5 45891.5 45586 45967 46280.5 46600.5 47422 48394 49459 50796 52094 52012 51457 50770.5 49745 48938.5 47894.5 46962 45747 43889.5 42516 41283.5 40412.5 40150 39827 40295.5 41546 42270.5 42885 43064.5 42888 43325 43986.5
